     0.00            0.00	  0  	       0.00	     0.00	0.00
     0.066708        0.00	  3  	       0.00	   120.00	0.00
     0.158922        0.00	  12 	       0.00	   480.00	0.00
     0.24525         0.00	  19 	       0.00	   760.00	0.00
     0.332559        0.00	  31 	       0.00	  1240.00	0.00
     0.418887        0.00	  46 	       0.00	  1840.00	0.00
     0.592524        0.00	  84 	       0.00	  3360.00	0.00
     0.76518         0.00	  138	       0.00	  5520.00	0.00
     0.94176         0.00	  197	       0.00	  7880.00	0.00
     1.11834         0.00	  247	       0.00	  9880.00	0.00
     1.28511         0.00	  295	       0.00	 11800.00	0.00
     1.46169         0.00	  337	       0.00	 13480.00	0.00
     1.62846         0.00	  369	       0.00	 14760.00	0.00
     1.80504         0.00	  397	       0.00	 15880.00	0.00
     
