     0.0	       0.00	    0		   0.00		 0.00  	    0.00
     0.0925045         0.00	    2.7 	   0.00        108.00  	    0.00
     0.15701	       0.00	    6.5 	   0.00        260.00  	    0.00
     0.238651	       0.00	    11.5	   0.00        460.00  	    0.00
     0.25704	       0.00	    14  	   0.00        560.00  	    0.00
     0.328185	       0.00	    20  	   0.00        800.00  	    0.00
     0.436402	       0.00	    31  	   0.00       1240.00  	    0.00
     0.514609	       0.00	    42  	   0.00       1680.00  	    0.00
     0.655668	       0.00	    68  	   0.00       2720.00  	    0.00
     0.765184	       0.00	    94  	   0.00       3760.00  	    0.00
     0.961693	       0.00	    149 	   0.00       5960.00  	    0.00
     1.23861	       0.00	    203 	   0.00       8120.00  	    0.00
     1.44012	       0.00	    243 	   0.00       9720.00  	    0.00
     1.70961	       0.00	    275 	   0.00      11000.00  	    0.00
     1.9845	       0.00	    307 	   0.00      12280.00  	    0.00
     2.20652	       0.00	    326 	   0.00      13040.00  	    0.00
     2.44258	       0.00	    345 	   0.00      13800.00  	    0.00

     
